feature,importance
f_6092,0.0046813097
f_1147,0.0034061861
f_2690,0.0028225824
f_2137,0.0026467866
f_1093,0.0024858823
f_6114,0.0023499979
f_6094,0.0022552302
f_64,0.0021877734
f_150,0.0021538292
f_6195,0.0020909242
f_665,0.0020713739
f_1732,0.0019776192
f_953,0.0019009255
f_2647,0.001894252
f_2047,0.0018854513
f_6093,0.0018746817
f_1084,0.0017876074
f_1867,0.001773684
f_688,0.0017143533
f_1169,0.0017107404
f_514,0.0016428414
f_2921,0.0016359794
f_2528,0.0016015305
f_918,0.0016012719
f_215,0.001546952
f_1061,0.0015144589
f_576,0.0015089004
f_574,0.001507246
f_386,0.0014789816
f_463,0.001473972
f_1544,0.0014427346
f_3000,0.0014398596
f_2196,0.0014330496
f_265,0.0014327154
f_4186,0.0014326851
f_4072,0.001425638
f_2667,0.0014144338
f_316,0.0014053991
f_62,0.0014013688
f_5105,0.0013925885
f_151,0.0013775477
f_1183,0.0013704279
f_422,0.0013092242
f_3824,0.0012936823
f_440,0.0012787329
f_6113,0.0012759062
f_709,0.0012695605
f_1538,0.0012689368
f_5179,0.0012647829
f_6209,0.0012599356
f_6207,0.0012586449
f_1099,0.0012409788
f_647,0.0012397245
f_1597,0.0012356595
f_5422,0.0012298698
f_6100,0.0012293637
f_5287,0.0012267979
f_693,0.0012224067
f_6177,0.0012185817
f_3068,0.0012065705
f_4828,0.0012042479
f_1097,0.0011999084
f_1045,0.0011927254
f_6147,0.0011877433
f_990,0.0011848672
f_2265,0.0011733078
f_4993,0.0011668635
f_5838,0.0011395272
f_6108,0.0011375987
f_6089,0.0011364294
f_5613,0.0011308567
f_1961,0.0011293552
f_2411,0.0011257863
f_3886,0.001118741
f_1899,0.0011178979
f_211,0.0011169104
f_1663,0.0011158279
f_829,0.0011111634
f_4964,0.0011089669
f_2564,0.0011048261
f_6178,0.0010990417
f_2276,0.0010988631
f_5711,0.0010983655
f_593,0.0010961746
f_2497,0.0010944505
f_189,0.0010900524
f_6208,0.001089476
f_4434,0.0010829145
f_1451,0.0010724412
f_2431,0.0010650579
f_5734,0.0010639977
f_5760,0.0010639116
f_2267,0.0010556726
f_368,0.0010483643
f_6202,0.0010471264
f_3662,0.001046231
f_5773,0.0010449726
f_2280,0.0010446251
f_270,0.0010390725
f_811,0.0010377284
f_2722,0.0010311387
f_1071,0.0010263183
f_6120,0.0010260415
f_6210,0.0010162917
f_1987,0.0010088142
f_6127,0.001008687
f_166,0.0010053413
f_6109,0.0010016067
f_5680,0.0009979673
f_2951,0.0009900047
f_3647,0.0009872041
f_4837,0.0009843966
f_486,0.0009783527
f_351,0.0009761136
f_104,0.0009741041
f_1863,0.0009730827
f_611,0.0009674443
f_1710,0.00096137926
f_1975,0.0009578079
f_395,0.0009577295
f_765,0.0009517526
f_2546,0.0009510579
f_1962,0.00094349554
f_6155,0.00094220426
f_6115,0.000938391
f_196,0.00092529325
f_772,0.00092117966
f_2151,0.00092034834
f_462,0.00091911614
f_5646,0.00091790146
f_2415,0.00091160875
f_1785,0.00090887863
f_2095,0.00090687757
f_3610,0.0009066832
f_2846,0.0009056393
f_2313,0.0009036869
f_1697,0.00089827075
f_1171,0.0008913215
f_3919,0.00089044933
f_889,0.0008900068
f_6145,0.00088639755
f_1486,0.00088583905
f_2701,0.0008807925
f_585,0.0008803511
f_938,0.0008798029
f_6129,0.0008796967
f_1227,0.0008759399
f_2129,0.0008753635
f_5944,0.00087506644
f_4213,0.00087152614
f_4662,0.0008705135
f_3518,0.0008699358
f_2141,0.0008693197
f_2469,0.00086845225
f_1847,0.00086338347
f_705,0.00086243934
f_3042,0.00086139794
f_2115,0.000860927
f_1628,0.00085822976
f_6179,0.0008581349
f_4013,0.00085690443
f_6099,0.0008546526
f_2656,0.0008500576
f_6146,0.00084981485
f_1286,0.00084727077
f_3827,0.00084603054
f_773,0.0008423117
f_777,0.00083853066
f_362,0.0008372198
f_4442,0.00083376805
f_1268,0.00083020853
f_6088,0.00082756515
f_4991,0.0008270369
f_5302,0.000826093
f_1941,0.0008255655
f_5009,0.00082477933
f_2087,0.0008245229
f_5111,0.0008241965
f_1472,0.00082318514
f_1243,0.00082268484
f_4140,0.0008167777
f_5495,0.0008164456
f_746,0.0008144431
f_790,0.0008105942
f_5684,0.00080974447
f_800,0.00080813275
f_2869,0.00080759166
f_6125,0.000805197
f_5686,0.0008014517
f_6142,0.00079987216
f_5538,0.0007979306
f_5685,0.00079731084
f_3836,0.00079691
f_1027,0.0007965465
f_2287,0.000795221
f_1723,0.0007941208
f_2160,0.00079096906
f_1301,0.00079076405
f_1196,0.00078852306
f_3506,0.00078524963
f_5608,0.0007827132
f_527,0.00078118034
f_3024,0.0007809111
f_1684,0.0007807266
f_1500,0.0007806642
f_4916,0.0007767988
f_5577,0.00077574543
f_138,0.0007742609
f_1031,0.0007739787
f_2224,0.00077250536
f_934,0.00077245093
f_5508,0.0007717467
f_2225,0.00076961186
f_3327,0.0007676215
f_1511,0.0007637474
f_5242,0.0007631875
f_3324,0.00076198514
f_5324,0.0007616942
f_256,0.0007616654
f_2646,0.000761632
f_1709,0.00075950904
f_2168,0.0007546308
f_5155,0.0007498675
f_4955,0.0007492278
f_6211,0.00074737286
f_6128,0.0007468669
f_5614,0.00074685074
f_1800,0.00074663956
f_6172,0.00074653653
f_2424,0.00074526365
f_658,0.00074515596
f_815,0.00074373884
f_364,0.0007437225
f_2119,0.00074333535
f_6165,0.0007418856
f_715,0.0007403628
f_3122,0.0007380631
f_3848,0.00073449424
f_6095,0.00073291187
f_1678,0.00073184725
f_3652,0.00073079916
f_2825,0.000727704
f_4302,0.000727322
f_5222,0.0007268551
f_949,0.0007264309
f_242,0.0007253766
f_1713,0.00072094175
f_4869,0.00071952597
f_2107,0.0007193617
f_5465,0.0007149377
f_6157,0.0007143002
f_369,0.0007134375
f_2380,0.00071292254
f_5282,0.0007115186
f_1142,0.0007106305
f_4464,0.0007100318
f_5057,0.0007099145
f_4344,0.0007093815
f_3531,0.00070891617
f_1919,0.00070796354
f_2642,0.0007078794
f_4918,0.00070617575
f_3351,0.00070313684
f_5879,0.0007024351
f_3632,0.00070243445
f_2640,0.0007004626
f_3805,0.0006984644
f_619,0.00069833436
f_5325,0.00069732795
f_2609,0.00069411704
f_423,0.0006918115
f_3249,0.0006889155
f_1376,0.0006876019
f_3492,0.0006868268
f_4822,0.0006863735
f_2653,0.00068522204
f_5874,0.0006847285
f_1358,0.0006841944
f_3235,0.0006808293
f_4554,0.0006805039
f_2641,0.000677589
f_3505,0.00067637855
f_1905,0.0006738944
f_1827,0.00067247136
f_1267,0.0006721515
f_2134,0.0006706801
f_431,0.00067051273
f_1002,0.0006688326
f_1445,0.000667714
f_1197,0.00066734315
f_1720,0.0006657851
f_5457,0.0006648005
f_2521,0.00066363247
f_1241,0.0006630584
f_339,0.00066176424
f_1968,0.0006615724
f_5320,0.0006615382
f_2316,0.00066140754
f_437,0.0006576448
f_2541,0.00065706956
f_3911,0.0006567726
f_319,0.0006552592
f_5351,0.0006547064
f_6111,0.00065435347
f_2016,0.0006540651
f_4635,0.0006539482
f_6154,0.00064995186
f_4565,0.0006498988
f_3062,0.00064885424
f_4563,0.0006478466
f_5180,0.000646979
f_6206,0.000645268
f_1708,0.00064497255
f_3749,0.00064437115
f_2789,0.0006439074
f_881,0.00064158783
f_2800,0.0006393261
f_6186,0.0006392818
f_3611,0.00063925685
f_2015,0.0006390763
f_3463,0.0006385626
f_2170,0.00063850766
f_4266,0.0006348574
f_5522,0.00063344435
f_3990,0.0006325343
f_4461,0.0006321601
f_6193,0.00063191215
f_6170,0.00063089706
f_1862,0.00062983943
f_2583,0.00062941876
f_5250,0.0006283722
f_3736,0.0006261552
f_3637,0.00062604283
f_4933,0.00062560674
f_3155,0.0006238632
f_2385,0.0006231104
f_936,0.0006229953
f_3371,0.00062087714
f_5819,0.00062086864
f_2617,0.0006206329
f_1105,0.0006199868
f_3498,0.0006198017
f_5648,0.0006190835
f_2401,0.0006181122
f_1467,0.00061734766
f_6123,0.000617335
f_6168,0.00061714667
f_1124,0.0006164161
f_18,0.000615209
f_4387,0.0006145023
f_2403,0.0006121195
f_2012,0.0006104013
f_3393,0.0006100498
f_1389,0.0006093384
f_19,0.00060845795
f_1443,0.0006082679
f_4070,0.00060803216
f_2926,0.0006079055
f_5032,0.0006063511
f_3035,0.00060622947
f_3874,0.00060353894
f_2236,0.0006030285
f_1844,0.0006026602
f_90,0.00060065894
f_2417,0.00059753464
f_5973,0.00059707864
f_1151,0.00059526874
f_3846,0.00059433817
f_546,0.00059344916
f_941,0.00059317745
f_439,0.0005923812
f_5294,0.00059086265
f_1787,0.0005893307
f_1217,0.00058926526
f_854,0.0005881632
f_4625,0.00058746815
f_974,0.00058603834
f_3092,0.00058586017
f_5316,0.0005857145
f_4591,0.00058462407
f_890,0.000584433
f_5747,0.00058400934
f_2114,0.0005833125
f_926,0.00058294885
f_1744,0.00058192515
f_5781,0.0005816895
f_2033,0.0005805518
f_5553,0.000579891
f_5855,0.0005790949
f_6137,0.00057884475
f_656,0.0005784332
f_4279,0.00057795644
f_2710,0.0005773585
f_986,0.0005769722
f_1935,0.00057687296
f_3065,0.000575479
f_4637,0.00057521433
f_3604,0.00057459157
f_5626,0.00057379325
f_5675,0.00057095493
f_1715,0.0005708461
f_6194,0.00056830875
f_1073,0.0005682144
f_375,0.0005676205
f_1049,0.0005666081
f_5252,0.0005647885
f_1311,0.00056391855
f_5575,0.00056209497
f_833,0.00056186767
f_6152,0.0005611889
f_3076,0.0005605055
f_2022,0.0005600393
f_5029,0.0005598462
f_5138,0.0005567037
f_4307,0.00055513484
f_4762,0.0005544017
f_72,0.00055417645
f_4388,0.0005532461
f_4079,0.00055259664
f_3019,0.0005517023
f_2128,0.00055167236
f_702,0.0005514803
f_2178,0.0005512747
f_6086,0.00054941676
f_2805,0.00054923166
f_1075,0.00054906285
f_5592,0.0005490473
f_549,0.0005489159
f_2568,0.0005488947
f_638,0.000546461
f_1637,0.000545602
f_4435,0.000544321
f_680,0.00054425525
f_5905,0.0005438391
f_5834,0.0005434469
f_4925,0.0005434323
f_344,0.0005433651
f_5172,0.0005428034
f_5451,0.00054213894
f_5368,0.0005420373
f_6130,0.0005419598
f_436,0.0005397696
f_3799,0.00053944427
f_322,0.0005393245
f_1759,0.0005386788
f_3169,0.0005384558
f_2458,0.000538028
f_3405,0.0005375833
f_3850,0.0005375064
f_6201,0.0005368462
f_2185,0.0005364155
f_3099,0.00053621083
f_6080,0.000534431
f_661,0.0005342076
f_3778,0.00053392857
f_4203,0.00053279474
f_3743,0.0005325343
